2025-11-03,SEND E-TFR ***XTU,1000,,70.19
2025-11-03,MCDONALD'S #400   _F,19.84,,50.35
2025-11-03,E-TRANSFER ***BqB,,50,100.35
2025-11-04,KUNG PAO WOK      _F,22.37,,77.98
2025-11-04,LAURA SECORD #0   _F,5.3,,72.68
2025-11-04,MINISO-ON-OSHAW   _F,17.39,,55.29
2025-11-05,TD VISA      Y6X5A3,5,,50.29
2025-11-05,UBER CANADA/UBE   _V,29.25,,21.04
2025-11-06,TD               PAY,,674.14,695.18
2025-11-06,SEND E-TFR ***hg9,70,,625.18
2025-11-06,TEKSAVVY     Y9U7U9,25.18,,600
2025-11-06,SEND E-TFR ***73b,25,,575
2025-11-06,II244 TFR-TO C/C,43.27,,531.73
2025-11-06,II252 TFR-TO C/C,38.65,,493.08
2025-11-06,II260 TFR-TO C/C,150.87,,342.21
2025-11-06,TEKSAVVY     Y9U9Y8,112,,230.21
2025-11-06,SUBWAY 23824      _F,18.96,,211.25
2025-11-06,GC 3849-CASH WITHDRA,5,,206.25
2025-11-06,TIM HORTONS #26   _F,1.77,,204.48
2025-11-06,MCDONALD'S #400   _F,9.36,,195.12
2025-11-06,AMEX BILL PYMT   MSP,35,,160.12
2025-11-07,A&W #4570         _F,16.98,,143.14
2025-11-07,PRES/QDZNV79GBQ   _T,4.75,,138.39
2025-11-10,UBER CANADA/UBE   _V,22.92,,115.47
2025-11-10,TD ATM DEP    008657,,950,1065.47
2025-11-10,SEND E-TFR ***DER,950,,115.47
2025-11-10,TIM HORTONS #24   _F,9.59,,105.88
2025-11-10,FRESHCO #3861     _F,5.69,,100.19
2025-11-10,E-TRANSFER ***6T2,,100,200.19
2025-11-10,TD ATM DEP    009036,,1050,1250.19
2025-11-10,SEND E-TFR ***wJa,1050,,200.19
2025-11-10,MCDONALD'S #402   _F,15.8,,184.39
2025-11-10,CANADIAN TIRE #   _F,56.49,,127.9
2025-11-12,FRESHCO #3861     _F,11.62,,116.28
2025-11-12,OSMOW'S BROOKLI   _F,20.88,,95.4
2025-11-12,TD ATM DEP    009573,,300,395.4
2025-11-12,SEND E-TFR ***aqw,300,,95.4
2025-11-12,SEND E-TFR ***EwK,20,,75.4
2025-11-12,UBER CANADA/UBE   _V,28.39,,47.01
2025-11-12,UBER CANADA/UBE   _V,28.42,,18.59
2025-11-12,UBER CANADA/UBE   _V,,28.39,46.98
2025-11-12,TD ATM DEP    000103,,1200,1246.98
2025-11-12,SEND E-TFR ***ndV,1200,,46.98
2025-11-13,SHOPPERS DRUG M   _F,7.27,,39.71
2025-11-13,TD ATM DEP    000515,,60,99.71
2025-11-13,SEND E-TFR ***uDY,60,,39.71
2025-11-14,JU375 TFR-FR C/C,,28,67.71
2025-11-14,UBER CANADA/UBE   _V,28.34,,39.37
2025-11-17,UBER CANADA/UBE   _V,28.37,,11
2025-11-17,UI352 TFR-FR C/C,,14,25
2025-11-17,UI355 TFR-FR C/C,,27,52
2025-11-17,VESTA  *CHATR     _V,39.55,,12.45
2025-11-17,UBER CANADA/UBE   _V,,28.34,40.79
2025-11-17,E-TFR ***rW8 EPAY,,1009.63,1050.42
2025-11-17,SEND E-TFR ***EZg,1000,,50.42
2025-11-17,E-TRANSFER ***Xm6,,10,60.42
2025-11-17,UBER CANADA/UBE   _V,28.68,,31.74
2025-11-17,UBER CANADA/UBE   _V,30.68,,1.06
2025-11-17,UBER CANADA/UBE   _V,,28.68,29.74
2025-11-17,UBER CANADA/UBE   _V,24.79,,4.95
2025-11-17,E-TRANSFER ***S4y,,20,24.95
2025-11-17,APPLE.COM/BILL    _V,14.68,,10.27
2025-11-18,SEND E-TFR ***6fk,10,,0.27
2025-11-19,TD ATM DEP    002847,,5,5.27
2025-11-19,SEND E-TFR ***Y46,5,,0.27
2025-11-20,TD               PAY,,403.59,403.86
2025-11-20,SEND E-TFR ***pxu,100,,303.86
2025-11-20,TEKSAVVY     K4U5X4,113.26,,190.6
2025-11-20,ESSO CIRCLE K     _F,17.4,,173.2
2025-11-21,PAYPAL *UBER      _V,11.29,,161.91
2025-11-21,E-TRANSFER ***cG5,,100,261.91
2025-11-21,UBER CANADA/UBE   _V,24.79,,237.12
2025-11-24,UBER CANADA/UBE   _V,24.81,,212.31
2025-11-24,UBER CANADA/UBE   _V,,24.79,237.1
2025-11-24,Spotify P3   14.34_V,14.34,,222.76
2025-11-24,PIZZA NOVA 324    _F,9.02,,213.74
2025-11-24,MARY BROWNS 614   _F,16.94,,196.8
